nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
1152, 570, 1033, 
1153, 1158, 1929, 
1154, 332, 28, 
1155, 1111, 168, 
1156, 237, 780, 
1157, 835, 1059, 
1158, 1946, 2036, 
1159, 881, 526, 
1160, 1046, 1494, 
1161, 1447, 24, 
1162, 259, 1338, 
1163, 1904, 2096, 
1164, 240, 910, 
1165, 57, 2052, 
1166, 1898, 320, 
1167, 1806, 1452, 
1168, 103, 315, 
1169, 638, 827, 
1170, 325, 1013, 
1171, 761, 1729, 
1172, 858, 1150, 
1173, 517, 635, 
1174, 2023, 219, 
1175, 825, 1708, 
1176, 220, 301, 
1177, 183, 1429, 
1178, 462, 1618, 
1179, 912, 1891, 
1180, 1237, 418, 
1181, 1576, 60, 
1182, 74, 942, 
1183, 1995, 576, 
1184, 1094, 1003, 
1185, 535, 538, 
1186, 1515, 1391, 
1187, 1252, 1158, 
1188, 1914, 694, 
1189, 605, 1428, 
1190, 2149, 163, 
1191, 907, 306, 
1192, 1671, 719, 
1193, 1151, 170, 
1194, 448, 2138, 
1195, 60, 375, 
1196, 1096, 1326, 
1197, 417, 1359, 
1198, 1829, 216, 
1199, 1609, 304, 
1200, 508, 413, 
1201, 643, 1299, 
1202, 600, 2144, 
1203, 1367, 1538, 
1204, 199, 36, 
1205, 515, 1162, 
1206, 2131, 1770, 
1207, 690, 927, 
1208, 727, 1970, 
1209, 429, 2098, 
1210, 791, 285, 
1211, 1881, 777, 
1212, 14, 1423, 
1213, 165, 1218, 
1214, 494, 1077, 
1215, 1586, 1982, 
1216, 1059, 345, 
1217, 411, 1314, 
1218, 1792, 1628, 
1219, 1135, 324, 
1220, 1115, 884, 
1221, 846, 1674, 
1222, 684, 1174, 
